Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1649.2997859999994
FDW14,OUT017,1435.9121343749998
NCN55,OUT010,584.7577647727277
FDQ58,OUT017,2649.1102324324333
FDY38,OUT027,6280.890879999996
FDH56,OUT046,1922.1493817142857
FDL48,OUT018,713.858654545455
FDC48,OUT027,2517.882088484848
FDN33,OUT045,1879.2570116129025
FDA36,OUT017,2752.970934653465
FDT44,OUT017,1922.1493817142857
FDQ56,OUT045,1435.9121343749998
NCC54,OUT019,584.7577647727277
FDU11,OUT049,2142.7435709401707
DRL59,OUT013,713.858654545455
FDM24,OUT049,2286.413267368423
FDI57,OUT045,3130.004904950495
DRC12,OUT018,2893.8398258992793
NCM42,OUT027,3242.062071532847
FDA46,OUT010,482.69954262295084
FDA31,OUT013,2778.5893175257734
NCJ31,OUT035,3737.295775182482
FDG52,OUT046,798.2176035398231
NCL19,OUT019,281.48208181818177
FDS10,OUT035,3384.108064242422
FDX22,OUT010,584.7577647727277
NCF19,OUT035,798.2176035398231
NCE06,OUT046,2503.5013364485985
DRC27,OUT046,3643.5197259842525
FDE21,OUT035,1922.1493817142857
NCR42,OUT019,92.67548155339803
FDX51,OUT018,2893.8398258992793
NCR06,OUT018,507.04640366972467
FDU31,OUT027,5329.314724444444
FDU59,OUT017,2503.5013364485985
FDR03,OUT027,5329.314724444444
FDS49,OUT027,2517.882088484848
FDD48,OUT010,281.48208181818177
NCF18,OUT017,2939.3484761904747
NCD43,OUT027,2517.882088484848
NCD54,OUT018,1752.2524400000002
FDY19,OUT010,281.48208181818177
NCY54,OUT017,2778.5893175257734
NCL19,OUT018,2232.847021848739
FDP23,OUT010,584.7577647727277
FDC26,OUT013,1649.2997859999994
FDR14,OUT010,165.91858165137612
NCS41,OUT035,3384.108064242422
FDF41,OUT035,3737.295775182482
FDU34,OUT046,1987.251048648648
DRH11,OUT046,935.0323883040934
FDM03,OUT013,1461.8437959999992
FDS31,OUT017,3384.108064242422
FDJ20,OUT017,2142.7435709401707
FDV44,OUT027,5329.314724444444
FDG02,OUT049,2752.970934653465
FDA09,OUT013,3259.5620849056613
