Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1280.092455370418
FDW14,OUT017,1234.6739883450152
NCN55,OUT010,688.4910299905158
FDQ58,OUT017,519.020294199208
FDY38,OUT027,8880.15525938734
FDH56,OUT046,1443.561477960496
FDL48,OUT018,607.2155573239913
FDC48,OUT027,2052.3133762822417
FDN33,OUT045,701.0854893128055
FDA36,OUT017,1479.2277799393596
FDT44,OUT017,1972.479573134681
FDQ56,OUT045,2001.5884171131056
NCC54,OUT019,810.8129165223291
FDU11,OUT049,5017.201987547331
DRL59,OUT013,83.34791944904325
FDM24,OUT049,1888.6804944084554
FDI57,OUT045,371.1102482131351
DRC12,OUT018,4006.4897253464446
NCM42,OUT027,4245.498090544372
FDA46,OUT010,484.2820568413359
FDA31,OUT013,4098.639986969405
NCJ31,OUT035,3158.5993057700102
FDG52,OUT046,385.12481115135563
NCL19,OUT019,395.4776657240294
FDS10,OUT035,6356.70139077108
FDX22,OUT010,-497.9056405643851
NCF19,OUT035,205.8999825059568
NCE06,OUT046,1275.419154275436
DRC27,OUT046,4012.051952202248
FDE21,OUT035,2532.0996912522887
NCR42,OUT019,509.12547914189895
FDX51,OUT018,2833.479973578865
NCR06,OUT018,602.4174290170891
FDU31,OUT027,4905.51506359362
FDU59,OUT017,348.8781547810027
FDR03,OUT027,3781.9410373586916
FDS49,OUT027,2349.3612198239402
FDD48,OUT010,343.34054505533254
NCF18,OUT017,2381.522292371633
NCD43,OUT027,1792.292913965276
NCD54,OUT018,374.3561271510915
FDY19,OUT010,-98.76440945365817
NCY54,OUT017,1864.3306793463971
NCL19,OUT018,2884.966492759879
FDP23,OUT010,126.09953222367282
FDC26,OUT013,932.0185052698295
FDR14,OUT010,-89.13616241705637
NCS41,OUT035,2501.3616526110272
FDF41,OUT035,3602.5686006822425
FDU34,OUT046,3399.712612900008
DRH11,OUT046,496.9540987737183
FDM03,OUT013,962.3903103622741
FDS31,OUT017,2816.542921600104
FDJ20,OUT017,1172.0463060127606
FDV44,OUT027,6158.9242187262
FDG02,OUT049,786.7686104417895
FDA09,OUT013,4342.508267560638
FDT04,OUT013,625.9533121321658
FDL58,OUT019,-44.41316521038699
FDE52,OUT045,1951.8803513727833
FDW12,OUT035,3050.072312879751
FDL51,OUT017,2980.135025153028
NCY42,OUT027,3549.3150545967274
FDR07,OUT017,3244.9873006528996
FDN40,OUT045,2265.1018704851713
FDB35,OUT027,1851.2781799337229
FDA22,OUT017,2039.007517560309
NCL06,OUT046,4627.808429335114
FDI35,OUT013,5630.114171311165
NCW42,OUT045,5525.476167046324
NCX06,OUT049,3436.346353061956
FDC37,OUT027,3151.6429881549307
FDZ14,OUT018,1478.4608235108326
DRG49,OUT049,5483.116585358704
NCG06,OUT045,4491.996741288143
DRC36,OUT045,4625.316818824121
FDV21,OUT019,301.91960686579193
FDB53,OUT046,2966.248403585263
DRP47,OUT019,428.742149732243
FDA14,OUT013,1914.750285553136
DRC24,OUT035,1959.69297913297
FDW21,OUT018,863.7747557327737
NCH29,OUT046,3208.333117955762
FDU58,OUT013,2754.9436590307364
FDY27,OUT017,2385.43224050306
FDV56,OUT035,601.7185127086648
FDT59,OUT046,8347.805772312697
FDB23,OUT046,3725.078068405025
FDR49,OUT045,921.2585481937464
FDB03,OUT010,660.1047287506623
FDN39,OUT045,2806.452333255395
FDX02,OUT027,6360.106737117546
FDQ16,OUT027,2356.4199938574725
FDU35,OUT018,1484.0368092705241
NCT29,OUT013,2390.670984269346
FDZ27,OUT046,262.7172700294102
FDN57,OUT017,2038.2169370531153
FDA03,OUT018,2279.6021559786727
FDZ36,OUT045,1661.1254664816986
NCU05,OUT013,1162.7411367146885
FDT39,OUT018,2605.5946774515974
FDK60,OUT017,1075.267454724394
FDZ25,OUT017,4261.368650679693
FDG12,OUT046,2430.914059873542
DRB01,OUT019,-460.5719609538908
NCC43,OUT027,5111.52426171456
FDX13,OUT019,395.28570064187363
FDM22,OUT049,515.7530249137506
FDJ03,OUT027,1494.9602569542437
FDU14,OUT018,4322.342297322284
FDB33,OUT010,236.30447918400998
FDP27,OUT046,2714.642216777666
FDO38,OUT010,41.62715181724316
FDE28,OUT027,3922.1774997650473
