Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1852.9996263631838
FDW14,OUT017,1579.6253027776602
NCN55,OUT010,1888.446600913769
FDQ58,OUT017,2609.31372723663
FDY38,OUT027,5179.228541181564
FDH56,OUT046,1915.7034715959362
FDL48,OUT018,596.7354505402249
FDC48,OUT027,2777.8289439134182
FDN33,OUT045,1510.3662875297205
FDA36,OUT017,3079.2232245629957
FDT44,OUT017,1997.2632212322846
FDQ56,OUT045,1306.6609009702465
NCC54,OUT019,1849.4183804332788
FDU11,OUT049,2045.7043562679269
DRL59,OUT013,888.7774636643576
FDM24,OUT049,2558.8073894987174
FDI57,OUT045,3088.6609293877664
DRC12,OUT018,2764.927186983654
NCM42,OUT027,3192.4117716776605
FDA46,OUT010,1133.6542605248765
FDA31,OUT013,2798.8125418091417
NCJ31,OUT035,3878.4109985973237
FDG52,OUT046,803.8870760581854
NCL19,OUT019,376.0172497194483
FDS10,OUT035,3027.5662677338114
FDX22,OUT010,1448.806560423087
NCF19,OUT035,915.0755485850136
NCE06,OUT046,2527.7429303384474
DRC27,OUT046,3843.2279701737402
FDE21,OUT035,2025.286259991512
NCR42,OUT019,-1357.7069058385637
FDX51,OUT018,2863.215144836399
NCR06,OUT018,429.35093945817164
FDU31,OUT027,4940.216761876464
FDU59,OUT017,2712.2801757998022
FDR03,OUT027,4767.686665185394
FDS49,OUT027,2760.72598647252
FDD48,OUT010,-73.36090656101351
NCF18,OUT017,3110.833640587481
NCD43,OUT027,3099.6340365174274
NCD54,OUT018,1989.856349520966
FDY19,OUT010,-36.063395878930805
NCY54,OUT017,2810.908057154349
NCL19,OUT018,2023.2093677862886
FDP23,OUT010,1533.6166043585154
FDC26,OUT013,1817.9674511371973
FDR14,OUT010,-1040.094009891638
NCS41,OUT035,3035.7207024356467
FDF41,OUT035,4041.7847475786057
FDU34,OUT046,2002.5747895507789
DRH11,OUT046,919.7377052008724
FDM03,OUT013,1764.0522299698134
FDS31,OUT017,3048.941452099114
FDJ20,OUT017,2092.031999355581
FDV44,OUT027,4494.507284749442
FDG02,OUT049,3102.7476488118277
FDA09,OUT013,2910.7236559757957
FDT04,OUT013,690.784058587608
FDL58,OUT019,2294.266179405709
FDE52,OUT045,1455.7573488698545
FDW12,OUT035,2503.7110938889814
FDL51,OUT017,3549.1249498970155
NCY42,OUT027,3687.33932981546
FDR07,OUT017,1658.6860659530844
FDN40,OUT045,2374.4085352650227
FDB35,OUT027,2949.7656335164443
FDA22,OUT017,2742.2405489305843
NCL06,OUT046,4110.960229322831
FDI35,OUT013,2917.4494869347254
NCW42,OUT045,3411.8113769746446
NCX06,OUT049,2934.657796567345
FDC37,OUT027,3192.972882959282
FDZ14,OUT018,1727.678243507723
DRG49,OUT049,3947.4228777248554
NCG06,OUT045,3959.977523651075
DRC36,OUT045,2721.482650717269
FDV21,OUT019,61.843455489156895
FDB53,OUT046,2359.1871189213293
DRP47,OUT019,2042.0399937840202
FDA14,OUT013,2352.9542704013115
DRC24,OUT035,2568.0142576781036
FDW21,OUT018,1414.2307356969993
NCH29,OUT046,1556.3664567155188
FDU58,OUT013,3079.4614083115594
FDY27,OUT017,2946.138328911925
FDV56,OUT035,1948.669616173719
FDT59,OUT046,3656.4986980289646
FDB23,OUT046,3621.786301970977
FDR49,OUT045,698.2293255207417
FDB03,OUT010,1908.5640273229255
FDN39,OUT045,2617.748963672793
FDX02,OUT027,4985.386547931819
FDQ16,OUT027,3188.620677298823
FDU35,OUT018,1341.9136361211515
NCT29,OUT013,1957.4402211813385
FDZ27,OUT046,830.1602370792874
FDN57,OUT017,2345.9125066000797
FDA03,OUT018,2099.173461419761
FDZ36,OUT045,2920.1391702358924
NCU05,OUT013,1322.2269737111042
FDT39,OUT018,2179.964202728221
FDK60,OUT017,1722.7067997392664
FDZ25,OUT017,2857.6772160288965
FDG12,OUT046,2037.0365417758453
DRB01,OUT019,1127.082341515308
NCC43,OUT027,5377.826340261957
FDX13,OUT019,2035.650672907348
FDM22,OUT049,1028.1974819986547
FDJ03,OUT027,2306.3592630393678
FDU14,OUT018,3678.0507022082597
FDB33,OUT010,624.7853673560539
FDP27,OUT046,3005.285512693678
FDO38,OUT010,-669.6718016595426
FDE28,OUT027,5152.788044275659
FDO27,OUT035,1701.436826625532
DRL23,OUT027,3166.7417310178303
FDS28,OUT046,963.0151564768148
FDX24,OUT013,1547.7067224619093
FDZ02,OUT035,1746.6568125826916
FDL46,OUT045,1812.4663270003375
FDS60,OUT027,4294.987836984926
NCO06,OUT017,635.5627003641769
FDO16,OUT035,1527.6967674370358
FDC60,OUT049,1538.2044094468145
FDA48,OUT018,3199.433164313564
FDZ36,OUT027,4452.523478315363
FDK27,OUT045,1877.2788485667074
FDW23,OUT018,378.3928512197406
FDM14,OUT018,1509.8954537273564
FDM14,OUT013,1787.4337248224224
FDW60,OUT018,2603.2340337991955
FDE21,OUT013,1909.9953185589425
NCM42,OUT035,1881.6465228828747
FDY59,OUT010,-372.48323992424594
DRI49,OUT049,1380.771937899379
FDT28,OUT019,510.440734027135
FDQ22,OUT018,408.8303423499475
FDR60,OUT049,1335.1034714189902
FDC50,OUT019,-393.4111438712946
FDV24,OUT013,2457.75673647699
DRF48,OUT010,1026.2896139762368
FDQ47,OUT046,638.5136151047278
DRN36,OUT049,1662.914315108274
NCY06,OUT035,2173.639404737065
FDE52,OUT035,1658.9045023016665
NCB54,OUT045,1936.7469199699913
NCF31,OUT035,2548.255450535324
FDJ08,OUT027,4448.179903782821
NCC07,OUT017,1786.8726880922936
NCD19,OUT027,2357.666290690918
FDL46,OUT049,2012.1464187049928
FDM20,OUT045,3834.1883682189614
NCI06,OUT010,918.4146327274996
DRM11,OUT035,4219.636613283255
NCH07,OUT018,2205.8436782728245
FDS23,OUT013,2083.0715871468933
FDO49,OUT018,599.262355166134
FDS35,OUT049,1164.0790274493982
DRK39,OUT045,1276.468693643322
DRI39,OUT049,1036.6408876656928
FDV04,OUT017,2639.307213318711
NCN14,OUT035,3008.739652001102
FDH08,OUT013,3688.279011637657
FDS20,OUT046,2911.0712505568767
FDV40,OUT049,1357.2054694075123
FDZ48,OUT010,-140.3808164183181
FDS24,OUT027,2910.495408930039
FDK44,OUT049,2861.529133635572
FDS48,OUT045,2343.025157074019
FDK26,OUT010,1104.7808860482069
FDD23,OUT045,2971.9768193283976
NCH54,OUT017,2636.2963637871812
NCP14,OUT010,-248.75873716525916
FDM60,OUT010,-1182.7515105618875
FDV24,OUT017,2522.5173926324082
FDH08,OUT018,3345.3451064552282
FDS12,OUT027,3463.2209514351666
FDR39,OUT027,4318.26618708668
FDP12,OUT027,2124.9411649499043
DRF60,OUT027,5187.343785772618
FDC09,OUT035,1848.3088412471825
FDF50,OUT018,2887.362955234325
FDG28,OUT035,4054.6449169584757
NCE19,OUT017,983.1758168064691
NCM53,OUT010,-199.57541250924646
NCN18,OUT049,1850.1700920286544
FDF32,OUT035,3316.701807217955
FDF11,OUT013,3872.0117201419325
DRI59,OUT049,3662.2358108686085
NCG54,OUT035,2811.0667839730318
FDM44,OUT046,1636.9541043533986
FDT57,OUT018,3465.223524849149
FDV24,OUT046,2417.767417586696
FDI50,OUT019,1769.6779822953854
FDS09,OUT035,1033.726310243615
NCC31,OUT027,3895.297017566722
FDQ07,OUT019,1596.874912158783
FDC22,OUT017,3171.266800666382
FDZ56,OUT046,2695.5655822072945
FDZ40,OUT019,-1001.412962725987
FDS46,OUT027,3393.252306643612
DRD24,OUT045,2162.212884214967
FDV45,OUT017,3106.209095684116
FDL26,OUT045,2418.3888934615375
FDA56,OUT018,1706.2200422318906
FDN27,OUT046,1918.6301710706616
FDM20,OUT049,3981.5408455069874
FDO16,OUT017,1458.5061132029482
FDL03,OUT035,3302.176664327376
FDE58,OUT046,1910.4939879624694
FDI02,OUT027,3288.005164317841
NCC55,OUT019,-1234.970962531592
FDR03,OUT018,3051.7890876634833
FDB14,OUT017,1641.0966094567918
FDR45,OUT013,3851.038063224111
NCN07,OUT017,2156.861960559406
FDM51,OUT019,-182.12547213125686
FDT52,OUT027,5361.346311252991
FDL26,OUT046,2463.1842884097982
NCZ42,OUT046,3763.99470693806
DRI47,OUT019,416.14365107749086
FDW40,OUT013,2317.5823188118416
FDN34,OUT046,2741.2158557100197
FDS01,OUT035,2988.2227219835854
NCG55,OUT045,1789.8945544249955
FDC11,OUT035,1548.8170241423818
FDX35,OUT018,3341.4261159537386
NCB06,OUT046,2519.3004883316344
FDR09,OUT019,2188.813037162678
FDC53,OUT017,1675.506902436909
