Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1650.284260989017
FDW14,OUT017,1370.491290427745
NCN55,OUT010,573.0305830650253
FDQ58,OUT017,2473.8219455540207
FDY38,OUT027,5855.70982098468
FDH56,OUT046,1927.1308977323265
FDL48,OUT018,767.1024779303708
FDC48,OUT027,2094.433011200191
FDN33,OUT045,1519.6410974900261
FDA36,OUT017,3090.9846354138094
FDT44,OUT017,1924.1384971362681
FDQ56,OUT045,1365.8852938676189
NCC54,OUT019,573.7273992238771
FDU11,OUT049,2019.2610076485078
DRL59,OUT013,884.8061925502894
FDM24,OUT049,2449.1050919578556
FDI57,OUT045,3064.9412477916794
DRC12,OUT018,2960.4794761457406
NCM42,OUT027,2915.0958244070566
FDA46,OUT010,510.8880617728927
FDA31,OUT013,2869.5038689479193
NCJ31,OUT035,3861.918682838532
FDG52,OUT046,799.9097958359906
NCL19,OUT019,290.2645613606885
FDS10,OUT035,2992.862748645799
FDX22,OUT010,566.9555338557603
NCF19,OUT035,761.7599868492683
NCE06,OUT046,2553.5007104347183
DRC27,OUT046,3878.308093052574
FDE21,OUT035,1942.8546853178486
NCR42,OUT019,132.32886592479267
FDX51,OUT018,2985.6857186303805
NCR06,OUT018,620.0230200715986
FDU31,OUT027,5860.359604837988
FDU59,OUT017,2558.364502371116
FDR03,OUT027,5855.96108576289
FDS49,OUT027,2008.7835128704612
FDD48,OUT010,265.9772372091427
NCF18,OUT017,3030.523172361836
NCD43,OUT027,2869.234933513767
NCD54,OUT018,2116.7606310080364
FDY19,OUT010,266.6521403143648
NCY54,OUT017,2882.796472387131
NCL19,OUT018,2434.4842016005823
FDP23,OUT010,569.5415824883036
FDC26,OUT013,1736.0495279505835
FDR14,OUT010,132.32886592479267
NCS41,OUT035,3121.280667524841
FDF41,OUT035,3869.172507486597
FDU34,OUT046,2046.6733467554302
DRH11,OUT046,974.0508560638325
FDM03,OUT013,1652.4330770539298
FDS31,OUT017,3061.722669643683
FDJ20,OUT017,1998.3854687988737
FDV44,OUT027,5166.565635252039
FDG02,OUT049,3109.717789176164
FDA09,OUT013,3015.320194194205
FDT04,OUT013,709.1406560192917
FDL58,OUT019,571.6625725469638
FDE52,OUT045,1395.6448111435318
FDW12,OUT035,2471.1904092703517
FDL51,OUT017,3670.4714042139094
NCY42,OUT027,3027.3938570613286
FDR07,OUT017,1535.2727015067242
FDN40,OUT045,2462.0303993175053
FDB35,OUT027,2692.3741052645155
FDA22,OUT017,2543.865882270904
NCL06,OUT046,4158.413612659206
